Voltage,Current
-2.200514844,-1.33E-05
-2.10048151,-1.04E-05
-1.900414844,-6.28E-06
-1.50028151,-2.31E-06
-1.269069352,-1.29E-06
-0.806645034,-4.01E-07
-0.246807052,-7.13E-08
0,0.00E+00
0.872868914,4.75E-07
1.100526547,8.47E-07
1.555841813,2.65E-06
1.700680544,3.81E-06
1.990358008,7.87E-06
2.217500522,1.39E-05
2.449177551,2.48E-05
2.449911908,0.0002
2.449911908,0.0002
2.449911908,0.0002
2.449911909,0.0002
2.44991191,0.0002
2.449911911,0.0002
2.449911915,0.0002
2.449911922,0.0002
2.449911936,0.0002
2.449911964,0.0002
2.449912021,0.0002
2.449912134,0.0002
2.44991236,0.0002
2.449912813,0.0002
2.449913717,0.0002
2.449915527,0.0002
2.449919146,0.0002
2.449926384,0.0002
2.44994086,0.0002
2.449969811,0.0002
2.450027715,0.0002
2.450143522,0.0002
2.450375136,0.0002
2.450838365,0.0002
2.451764821,0.0002
2.453617735,0.0002
2.457323562,0.0002
2.464735216,0.0002
2.479558525,0.0002
2.509205142,0.0002
2.568498376,0.0002
2.687084843,0.0002
2.924257778,0.0002
3,0.0002
2.987495833,0.0002
2.9624875,0.0002
2.912470833,0.0002
2.8124375,0.0002
2.612370833,0.0002
2.2122375,0.0002
1.411970833,0.0002
0.59880191,0.0001996
0.381119726,0.00012704
0.374317158,0.000124772
0.360712021,0.000120237
0.333501748,0.000111167
0.279081202,9.30E-05
0.170240109,5.67E-05
-0.047442075,-9.42E-06
-0.482806444,-9.73E-05
-0.700488629,-0.000143255
-1.135852998,-0.000240881
-1.647042142,-3.33E-06
-1.754726539,-4.36E-06
-1.970095333,-7.48E-06
-2.400832922,-2.20E-05
-3,-9.82E-05
-2.996873958,-9.74E-05
-2.990621875,-9.59E-05
-2.978117708,-9.29E-05
-2.953109375,-8.73E-05
-2.903092708,-7.71E-05
-2.803059375,-6.00E-05
-2.602992708,-3.64E-05
-2.202859375,-1.34E-05
